CustomerID,Age,Gender,Tenure,MonthlyCharges,NumProducts,HasInternetService,HasSupportPlan,ContractType,PaymentMethod,SatisfactionScore,NumComplaints,TotalCharges,Churn
1027,29.0,Female,50,60.45,3,1,0,Month-to-Month,Electronic Check,1.0,1.0,3055.993572737933,0
1028,39.0,Male,61,77.24,3,1,1,Month-to-Month,Credit Card,3.0,3.0,4721.717200089971,1
1029,61.0,Female,51,100.4,1,0,1,Two Year,Mailed Check,3.0,4.0,5120.400000000001,0
1030,42.0,Female,19,73.84,1,1,1,Month-to-Month,Electronic Check,5.0,1.0,1349.7100587445425,0
1031,66.0,Female,21,86.17,3,1,1,One Year,Credit Card,2.0,1.0,1737.9575672390054,0
1032,44.0,Female,5,93.79,1,1,1,Two Year,Bank Transfer,5.0,1.0,440.9227411961014,0
1033,59.0,Female,42,72.02,4,1,0,One Year,Credit Card,5.0,2.0,2974.5473217625513,0
1034,45.0,Male,61,62.68,2,1,0,Month-to-Month,Mailed Check,5.0,0.0,3823.48,0
1035,33.0,Male,22,107.67,1,1,1,One Year,Mailed Check,3.0,0.0,2401.3072506176527,0
1036,32.0,Female,21,61.75,3,1,0,Month-to-Month,Mailed Check,5.0,1.0,1296.75,0
1037,64.0,Male,70,66.19,2,1,1,One Year,Mailed Check,5.0,0.0,4682.496134071537,0
1038,68.0,Female,1,119.03,2,1,0,Month-to-Month,Mailed Check,5.0,3.0,138.73358550567318,1
1039,61.0,Female,5,20.02,1,1,0,One Year,Electronic Check,1.0,0.0,114.81705938091994,0
1040,69.0,Male,12,38.55,1,1,1,One Year,Mailed Check,3.0,2.0,545.8654523030045,0
1041,20.0,Male,46,58.4,2,1,1,One Year,Electronic Check,2.0,1.0,2622.109868296774,0
1042,54.0,Female,34,113.26,2,0,1,One Year,Bank Transfer,1.0,1.0,3894.52859980244,1
1043,68.0,Female,49,27.0,2,1,1,One Year,Mailed Check,4.0,0.0,1308.1178713489285,0
1044,24.0,Female,45,20.95,3,1,0,One Year,Mailed Check,3.0,1.0,1071.303507831477,0
1045,38.0,Male,27,25.27,2,0,0,Month-to-Month,Credit Card,3.0,0.0,663.2502784430395,0
1046,26.0,Female,26,28.85,1,1,1,One Year,Bank Transfer,4.0,0.0,722.9845831937191,0
1047,56.0,Female,47,23.76,2,1,1,Month-to-Month,Mailed Check,4.0,1.0,1137.9967887428634,0
1048,35.0,Female,56,67.98,4,1,0,Two Year,Mailed Check,4.0,1.0,3796.434573389568,0
1049,21.0,Male,63,78.08,3,1,1,Month-to-Month,Bank Transfer,2.0,0.0,4881.116851885006,0
1050,42.0,Female,48,47.17,2,1,0,Month-to-Month,Electronic Check,5.0,1.0,2215.646160803208,1
1051,31.0,Female,61,59.83,1,0,1,One Year,Mailed Check,3.0,2.0,3722.54022441937,0
1052,67.0,Male,26,29.17,2,1,0,Month-to-Month,Credit Card,5.0,0.0,700.2469184050005,0
1053,26.0,Female,36,53.64,3,1,1,Month-to-Month,Mailed Check,5.0,0.0,1942.194378019025,1
1054,43.0,Female,1,72.25,3,1,1,One Year,Credit Card,4.0,0.0,125.05920698130475,1
1055,19.0,Male,8,93.23,3,1,0,One Year,Credit Card,2.0,0.0,801.0647492721317,1
1056,45.0,Female,52,20.33,3,1,1,One Year,Mailed Check,1.0,0.0,1027.077379890928,1
1057,45.0,Male,47,66.73,3,1,1,Month-to-Month,Mailed Check,2.0,0.0,3126.0007599687124,0
1058,64.0,Male,56,49.7,1,1,0,One Year,Credit Card,5.0,1.0,2763.1903249492816,0
1059,24.0,Female,14,105.28,2,1,0,Month-to-Month,Bank Transfer,2.0,1.0,1397.1690618667062,1
1060,61.0,Female,28,91.56,1,1,0,One Year,Bank Transfer,4.0,0.0,2590.555869151006,0
1061,25.0,Female,2,78.91,1,0,0,One Year,Mailed Check,1.0,3.0,159.74518228174043,0
1062,45.0,Female,26,47.73,3,0,1,One Year,Electronic Check,4.0,1.0,1313.0092540300939,0
1063,52.0,Male,14,111.03,2,1,1,Month-to-Month,Bank Transfer,1.0,0.0,1513.2597451349288,0
1064,31.0,Female,59,24.51,2,0,1,Month-to-Month,Mailed Check,5.0,1.0,1500.5248279308848,0
1065,34.0,Male,56,30.95,1,1,0,Month-to-Month,Bank Transfer,1.0,0.0,1791.1617075142103,0
1066,53.0,Female,7,59.16,2,1,0,Month-to-Month,Electronic Check,1.0,0.0,416.4735843403944,1
1067,67.0,Female,3,32.44,1,1,0,Month-to-Month,Mailed Check,1.0,2.0,-11.223078541683464,1
1068,57.0,Female,23,115.64,1,1,1,One Year,Electronic Check,2.0,0.0,2634.0916171277854,1
1069,21.0,Male,18,99.8,2,1,1,Month-to-Month,Mailed Check,2.0,0.0,1885.6935562152057,0
1070,19.0,Female,38,45.9,1,1,0,Two Year,Electronic Check,5.0,1.0,1759.0527885745955,0
1071,23.0,Female,15,78.86,2,0,1,Month-to-Month,Bank Transfer,1.0,1.0,1217.5699852935943,0
1072,59.0,Female,64,118.23,1,1,1,One Year,Bank Transfer,3.0,1.0,7562.261670918252,0
1073,21.0,Female,28,108.42,1,1,1,One Year,Electronic Check,5.0,2.0,3024.587854506844,0
1074,46.0,Male,39,80.08,1,1,1,Month-to-Month,Electronic Check,1.0,1.0,3029.7527715650244,0
1075,35.0,Female,57,110.37,2,1,1,Month-to-Month,Electronic Check,1.0,1.0,6330.826960852765,1
1076,43.0,Male,17,118.92,3,1,1,One Year,Mailed Check,2.0,2.0,2075.624060236119,0
1077,61.0,Male,44,94.34,2,1,1,Month-to-Month,Bank Transfer,5.0,1.0,4103.416885726666,0
1078,45.0,Male,25,26.5,2,1,1,Two Year,Mailed Check,1.0,0.0,653.5572439245847,0
1079,27.0,Male,17,60.16,3,0,0,One Year,Bank Transfer,1.0,1.0,1007.0329361322854,1
1080,53.0,Male,13,103.78,1,1,0,Two Year,Credit Card,5.0,1.0,1370.1476646993144,0
1081,31.0,Male,25,43.06,2,0,0,Month-to-Month,Mailed Check,3.0,0.0,1049.2818209245452,0
1082,48.0,Female,68,103.06,3,0,1,One Year,Bank Transfer,5.0,0.0,7054.64704615915,0
1083,65.0,Male,10,32.03,2,0,0,One Year,Bank Transfer,5.0,0.0,323.86621580622443,1
1084,32.0,Male,67,24.69,2,1,1,One Year,Mailed Check,3.0,1.0,1526.7588472207651,0
1085,25.0,Male,18,58.41,4,1,1,Month-to-Month,Mailed Check,5.0,2.0,1073.516013759632,0
1086,31.0,Female,34,23.67,3,1,1,One Year,Bank Transfer,1.0,1.0,854.5975493795393,1
1087,40.0,Female,8,115.73,1,1,0,Month-to-Month,Mailed Check,5.0,0.0,868.236916986753,1
1088,57.0,Male,40,102.62,2,1,1,One Year,Electronic Check,3.0,1.0,4125.2363467487285,0
1089,38.0,Female,42,100.08,2,0,1,Month-to-Month,Mailed Check,4.0,0.0,4294.85798348771,0
1090,33.0,Male,41,82.98,2,1,1,Two Year,Mailed Check,5.0,1.0,3407.783318758912,0
1091,62.0,Male,6,41.63,2,1,0,Month-to-Month,Mailed Check,2.0,0.0,306.8614432164745,1
1092,35.0,Female,52,71.83,2,1,1,Two Year,Bank Transfer,1.0,0.0,3713.0522514881736,0
1093,64.0,Male,26,79.73,2,1,0,Two Year,Electronic Check,1.0,1.0,2072.081785577142,1
1094,41.0,Female,64,72.5,2,0,0,Two Year,Credit Card,2.0,1.0,4629.768935603683,0
1095,43.0,Female,59,46.02,3,1,1,One Year,Credit Card,2.0,1.0,2695.8239786826225,0
1096,42.0,Male,56,71.52,3,1,1,Month-to-Month,Electronic Check,5.0,3.0,3997.733897745846,0
1097,62.0,Male,59,69.12,1,1,1,Two Year,Electronic Check,2.0,2.0,4078.0800000000004,0
1098,58.0,Female,70,119.63,2,0,1,Month-to-Month,Electronic Check,4.0,1.0,8374.1,0
1099,46.0,Male,33,109.74,1,1,1,One Year,Bank Transfer,3.0,0.0,3688.310322771339,0
1100,32.0,Male,53,66.34,2,1,1,One Year,Credit Card,2.0,1.0,3467.835497157408,0
1101,62.0,Male,22,82.29,3,0,0,One Year,Electronic Check,2.0,1.0,1757.0733364263347,0
1102,18.0,Female,21,94.79,1,1,1,Month-to-Month,Bank Transfer,4.0,3.0,1993.6506185697378,0
1103,42.0,Female,70,23.49,2,1,0,One Year,Credit Card,1.0,0.0,1649.8591571678621,1
1104,24.0,Male,70,109.49,1,1,1,Two Year,Mailed Check,1.0,1.0,7683.173235952699,1
1105,26.0,Female,4,106.01,1,1,1,Month-to-Month,Bank Transfer,5.0,0.0,418.35307134076805,1
1106,41.0,Female,62,65.74,2,1,0,Two Year,Credit Card,4.0,1.0,4079.473208222916,0
1107,18.0,Female,62,59.12,2,1,1,Month-to-Month,Bank Transfer,3.0,1.0,3647.8957613185503,0
1108,61.0,Female,24,47.3,4,1,1,Month-to-Month,Credit Card,3.0,0.0,1071.4101922350017,1
1109,25.0,Female,55,67.67,2,0,1,Month-to-Month,Credit Card,4.0,0.0,3718.2804065844675,1
1110,41.0,Male,9,24.44,2,1,1,Month-to-Month,Mailed Check,3.0,4.0,256.1898498221232,1
1111,45.0,Male,3,105.22,2,1,1,Two Year,Bank Transfer,1.0,1.0,341.4127313176167,1
1112,68.0,Male,31,23.54,1,1,1,Month-to-Month,Electronic Check,3.0,1.0,642.5278936530357,1
1113,34.0,Female,40,52.91,4,1,0,Month-to-Month,Mailed Check,3.0,3.0,2128.996268165454,0
1114,25.0,Female,36,113.16,2,0,1,Month-to-Month,Mailed Check,4.0,2.0,4029.1215237071415,0
1115,52.0,Male,24,93.52,3,1,1,One Year,Credit Card,4.0,0.0,2314.0882002610692,0
1116,52.0,Female,6,48.14,1,1,0,One Year,Electronic Check,3.0,2.0,305.153489146419,0
1117,50.0,Male,66,45.26,2,1,0,Month-to-Month,Bank Transfer,2.0,1.0,3031.97419800653,0
1118,22.0,Male,4,20.51,2,1,1,Month-to-Month,Electronic Check,4.0,0.0,83.098407220743,1
1119,59.0,Male,6,89.57,3,1,1,Two Year,Electronic Check,5.0,1.0,534.1172500551261,1
1120,56.0,Female,51,24.88,1,0,1,Month-to-Month,Electronic Check,5.0,0.0,1343.6722458826623,0
1121,58.0,Female,62,73.26,2,1,1,Month-to-Month,Electronic Check,1.0,0.0,4542.12,0
1122,45.0,Male,57,116.21,4,0,0,Month-to-Month,Electronic Check,3.0,1.0,6629.862932612376,0
1123,45.0,Male,66,30.95,2,0,0,One Year,Credit Card,2.0,1.0,2032.7166786931302,0
1124,26.0,Male,8,109.45,2,1,1,Month-to-Month,Credit Card,1.0,1.0,790.2412637234565,0
1125,45.0,Male,26,119.15,1,1,0,One Year,Mailed Check,3.0,3.0,3114.128376743707,0
1126,29.0,Female,51,26.15,4,1,0,Month-to-Month,Credit Card,4.0,1.0,1327.344801534014,0
1127,51.0,Female,45,108.29,1,1,0,Two Year,Mailed Check,5.0,0.0,4900.747802354114,0
1128,50.0,Male,44,71.61,3,1,1,Month-to-Month,Mailed Check,2.0,1.0,3193.7309420767397,0
1129,65.0,Male,5,110.65,3,1,1,One Year,Bank Transfer,5.0,1.0,614.8960547523624,0
1130,40.0,Female,70,77.13,1,1,0,Month-to-Month,Electronic Check,4.0,0.0,5415.94964554472,1
1131,41.0,Female,26,86.21,3,0,1,Month-to-Month,Credit Card,3.0,1.0,2189.1419767435896,0
1132,54.0,Male,68,74.38,1,1,1,One Year,Bank Transfer,4.0,2.0,4950.374322454093,0
1133,52.0,Male,19,106.45,1,1,1,Month-to-Month,Credit Card,4.0,0.0,1981.3150069821604,0
1134,61.0,Male,20,93.39,3,1,0,Two Year,Mailed Check,5.0,3.0,1934.4744249752534,0
1135,57.0,Female,12,72.13,3,1,1,Two Year,Credit Card,2.0,2.0,956.734573464972,0
1136,39.0,Female,47,106.82,2,1,0,Two Year,Electronic Check,4.0,0.0,5008.644962411541,0
1137,44.0,Female,1,44.53,2,1,1,Month-to-Month,Mailed Check,5.0,0.0,-28.51796271411756,0
1138,52.0,Male,14,35.73,1,1,1,One Year,Mailed Check,2.0,1.0,467.799321249858,0
1139,18.0,Male,64,36.04,1,1,0,Month-to-Month,Bank Transfer,3.0,1.0,2363.4502911348936,0
1140,52.0,Female,38,53.4,1,1,1,Two Year,Electronic Check,3.0,1.0,1999.6493413236446,0
1141,54.0,Female,37,43.87,1,1,1,One Year,Mailed Check,1.0,0.0,1652.6461973833755,0
1142,64.0,Male,11,113.01,2,0,0,Two Year,Electronic Check,5.0,3.0,1251.5379150649019,1
1143,31.0,Female,3,30.58,2,0,1,Month-to-Month,Credit Card,2.0,2.0,127.2401629518527,1
1144,20.0,Female,33,89.9,2,1,0,One Year,Electronic Check,4.0,0.0,3057.600549947352,0
1145,18.0,Male,6,38.92,1,1,1,Month-to-Month,Mailed Check,3.0,3.0,263.00907377671695,1
1146,22.0,Female,50,108.16,2,1,1,One Year,Bank Transfer,2.0,2.0,5415.3458138318965,0
1147,43.0,Male,10,116.13,3,1,1,Month-to-Month,Mailed Check,5.0,0.0,1257.718678290446,1
1148,31.0,Male,5,66.55,1,0,0,One Year,Electronic Check,1.0,1.0,350.22760508125305,1
1149,56.0,Male,23,107.91,4,1,1,One Year,Electronic Check,3.0,0.0,2442.28262513342,0
1150,44.0,Male,10,20.51,3,1,1,One Year,Mailed Check,3.0,2.0,239.47326448847429,1
1151,26.0,Male,44,101.99,1,1,1,Month-to-Month,Electronic Check,2.0,1.0,4487.5599999999995,1
1152,32.0,Male,2,42.86,3,1,1,One Year,Credit Card,2.0,0.0,70.32488288647001,0
1153,32.0,Male,13,110.87,2,1,1,Month-to-Month,Mailed Check,5.0,1.0,1415.4306973766863,0
1154,43.0,Female,40,20.11,2,1,0,Month-to-Month,Bank Transfer,5.0,0.0,789.4870256342546,0
1155,45.0,Male,2,75.62,2,1,0,Month-to-Month,Mailed Check,5.0,0.0,124.64553212491217,1
1156,30.0,Male,65,95.66,2,0,1,Month-to-Month,Credit Card,4.0,0.0,6204.612009064355,0
1157,68.0,Female,63,45.87,2,1,0,Month-to-Month,Credit Card,2.0,1.0,2847.670169887907,0
1158,49.0,Female,17,39.31,2,0,1,One Year,Credit Card,3.0,1.0,687.5777344079908,0
1159,56.0,Female,9,28.41,2,1,1,Month-to-Month,Credit Card,5.0,1.0,271.25006569794095,0
1160,66.0,Male,15,52.64,3,0,0,Month-to-Month,Credit Card,5.0,1.0,806.8600888614735,0
1161,69.0,Female,24,75.98,2,1,1,Two Year,Bank Transfer,2.0,0.0,1820.4015330281673,1
1162,49.0,Male,38,31.58,3,0,1,Month-to-Month,Electronic Check,5.0,1.0,1191.1568371987469,0
1163,21.0,Male,35,57.67,1,1,1,One Year,Credit Card,4.0,1.0,2090.5502898826758,0
1164,47.0,Male,49,20.91,1,1,0,One Year,Credit Card,4.0,1.0,1027.96029434189,0
1165,54.0,Male,69,101.87,3,0,0,Two Year,Mailed Check,5.0,1.0,7092.2183423027745,0
1166,40.0,Female,62,32.84,2,0,1,One Year,Bank Transfer,2.0,0.0,1986.2592008416846,1
1167,56.0,Female,60,48.33,1,1,1,One Year,Bank Transfer,3.0,2.0,2929.258891710069,0
1168,62.0,Male,50,21.84,1,1,1,Two Year,Electronic Check,2.0,0.0,1055.2648481669992,0
1169,32.0,Male,9,63.22,1,1,1,Month-to-Month,Bank Transfer,1.0,1.0,541.1724035853333,1
1170,60.0,Male,34,104.01,4,1,0,Two Year,Mailed Check,5.0,0.0,3515.7447080036227,0
1171,46.0,Female,35,59.22,2,0,1,Month-to-Month,Mailed Check,2.0,0.0,2048.970051569811,1
1172,53.0,Male,1,37.95,4,1,0,Two Year,Electronic Check,4.0,1.0,14.469767175907467,0
1173,30.0,Male,40,95.37,2,1,1,Month-to-Month,Mailed Check,3.0,0.0,3814.8,0
1174,49.0,Female,64,98.88,2,1,1,One Year,Credit Card,3.0,1.0,6330.590558655882,0
1175,24.0,Female,22,37.38,2,1,1,Month-to-Month,Credit Card,2.0,0.0,833.6127694604804,1
1176,68.0,Male,60,97.09,2,1,1,One Year,Mailed Check,3.0,0.0,5802.542001822428,0
1177,39.0,Female,64,114.73,1,1,0,Month-to-Month,Electronic Check,3.0,1.0,7385.566965185905,1
1178,45.0,Female,11,36.64,3,0,1,Two Year,Bank Transfer,1.0,1.0,420.792813911946,1
1179,19.0,Male,14,97.1,3,1,0,Two Year,Electronic Check,4.0,1.0,1343.953567782513,0
1180,59.0,Female,60,90.86,2,1,1,Month-to-Month,Bank Transfer,4.0,2.0,5372.385805368668,0
1181,62.0,Male,30,67.36,4,1,0,Two Year,Mailed Check,1.0,0.0,2031.6148229200935,0
1182,23.0,Female,35,25.79,3,0,1,One Year,Mailed Check,1.0,0.0,931.4339761267729,1
1183,45.0,Male,37,27.47,3,0,1,One Year,Credit Card,3.0,0.0,1016.39,0
1184,45.0,Male,5,105.24,1,1,0,Month-to-Month,Bank Transfer,5.0,0.0,511.43026906504184,0
1185,61.0,Male,26,119.01,2,1,0,Month-to-Month,Electronic Check,3.0,0.0,3121.118025073048,0
1186,61.0,Female,62,87.61,2,1,1,Month-to-Month,Mailed Check,1.0,1.0,5353.2735971439115,0
1187,37.0,Male,4,64.6,1,1,1,Month-to-Month,Electronic Check,4.0,1.0,225.9573908295055,0
1188,47.0,Female,42,84.76,1,0,0,Two Year,Credit Card,3.0,1.0,3559.92,0
1189,28.0,Male,18,79.44,3,1,0,Month-to-Month,Bank Transfer,5.0,1.0,1485.1709219425807,1
1190,45.0,Male,40,58.36,1,1,0,Two Year,Bank Transfer,3.0,3.0,2443.6889906135584,1
1191,42.0,Female,39,26.56,2,1,1,Month-to-Month,Mailed Check,2.0,0.0,1133.7727384183545,0
1192,56.0,Male,14,102.15,4,0,1,One Year,Bank Transfer,3.0,0.0,1430.1000000000001,0
1193,50.0,Male,32,57.18,3,1,0,One Year,Mailed Check,1.0,1.0,1805.5486559259023,0
1194,18.0,Female,51,101.88,1,0,0,Two Year,Credit Card,3.0,1.0,5242.036113388544,0
1195,44.0,Male,38,45.25,3,1,0,Month-to-Month,Bank Transfer,4.0,0.0,1692.320353813817,0
1196,69.0,Male,23,20.1,1,0,0,Month-to-Month,Mailed Check,1.0,0.0,424.19523575271745,0
1197,30.0,Male,63,35.89,1,1,1,Month-to-Month,Electronic Check,2.0,0.0,2245.806697381745,1
1198,58.0,Male,15,66.85,2,1,0,Month-to-Month,Mailed Check,1.0,2.0,981.2163349911445,1
1199,20.0,Female,25,114.43,2,1,0,Month-to-Month,Bank Transfer,3.0,3.0,2881.381531153294,0
1200,56.0,Female,17,30.22,2,1,1,Month-to-Month,Credit Card,1.0,1.0,483.619918893282,1
1201,23.0,Male,66,105.42,2,1,0,Month-to-Month,Bank Transfer,1.0,0.0,6961.976102864891,1
1202,45.0,Female,53,72.7,1,1,1,One Year,Bank Transfer,2.0,1.0,3932.8476725702662,0
1203,44.0,Male,51,102.59,1,1,1,Month-to-Month,Mailed Check,3.0,0.0,5238.197035703703,1
1204,26.0,Female,39,49.84,2,1,1,Month-to-Month,Electronic Check,5.0,0.0,2019.597114406089,0
1205,54.0,Male,51,103.99,3,1,1,Month-to-Month,Bank Transfer,5.0,0.0,5363.592830053297,0
1206,50.0,Male,70,97.28,2,1,1,One Year,Electronic Check,4.0,1.0,6839.202011835032,0
1207,68.0,Male,6,43.01,1,1,1,Two Year,Mailed Check,1.0,0.0,240.35236050307398,0
1208,59.0,Male,67,33.13,2,1,1,One Year,Electronic Check,4.0,1.0,2271.7353988674554,0
1209,61.0,Male,7,106.81,1,1,1,One Year,Mailed Check,2.0,1.0,735.1712540680963,1
1210,41.0,Male,51,116.32,1,0,1,Month-to-Month,Credit Card,5.0,1.0,5932.219517248652,0
1211,32.0,Female,42,23.13,3,0,1,One Year,Electronic Check,1.0,3.0,987.9699337082797,1
1212,49.0,Male,64,93.13,1,1,0,Month-to-Month,Electronic Check,2.0,1.0,5960.051626380326,1
1213,49.0,Female,15,110.95,1,0,0,Month-to-Month,Credit Card,2.0,1.0,1628.2366140794732,1
1214,41.0,Male,29,105.74,3,1,0,One Year,Electronic Check,1.0,0.0,2990.1050542508565,0
1215,58.0,Female,33,116.45,2,1,1,Two Year,Credit Card,2.0,0.0,3890.8066465162738,1
1216,69.0,Female,27,96.01,2,1,1,Month-to-Month,Bank Transfer,1.0,0.0,2620.787106340318,0
1217,66.0,Female,36,64.23,1,0,1,One Year,Mailed Check,1.0,0.0,2226.249450375183,0
1218,45.0,Male,29,51.2,1,1,1,One Year,Credit Card,3.0,2.0,1447.4606325231573,0
1219,69.0,Male,38,52.07,1,1,1,Month-to-Month,Electronic Check,4.0,1.0,1987.6132714636692,0
1220,29.0,Female,57,92.44,1,1,0,Month-to-Month,Credit Card,2.0,0.0,5291.2086176780285,0
1221,56.0,Male,27,94.58,3,0,1,Month-to-Month,Electronic Check,2.0,0.0,2477.7373170516453,0
1222,19.0,Female,55,40.04,3,1,1,Month-to-Month,Bank Transfer,3.0,0.0,2197.7380666728786,0
1223,20.0,Male,33,106.81,3,1,1,Month-to-Month,Credit Card,3.0,1.0,3551.712729762698,0
1224,66.0,Female,68,91.49,3,1,0,Month-to-Month,Bank Transfer,3.0,0.0,6203.744409905035,0
1225,54.0,Female,66,76.28,2,1,1,Month-to-Month,Mailed Check,5.0,3.0,5047.27148242172,1
1226,66.0,Male,10,67.15,3,1,1,One Year,Electronic Check,5.0,1.0,647.1224058977762,0
1227,34.0,Female,5,74.32,2,1,1,One Year,Electronic Check,5.0,1.0,417.05981758497603,0
1228,45.0,Male,38,35.92,2,1,1,Two Year,Bank Transfer,1.0,2.0,1324.9957143066865,1
1229,19.0,Female,13,40.37,2,1,1,Month-to-Month,Mailed Check,2.0,2.0,467.7060880452809,1
1230,19.0,Female,31,29.12,1,1,0,One Year,Credit Card,4.0,1.0,904.1663432030775,0
1231,45.0,Male,47,35.37,2,1,1,Two Year,Credit Card,1.0,1.0,1590.7137013855752,0
1232,40.0,Male,52,65.37,4,1,1,One Year,Electronic Check,3.0,3.0,3293.9844405968606,0
1233,54.0,Male,56,73.04,1,1,1,Month-to-Month,Bank Transfer,2.0,0.0,4144.426764902701,0
1234,49.0,Female,15,21.79,1,1,1,One Year,Bank Transfer,3.0,1.0,277.63877592195905,0
1235,50.0,Male,29,99.68,2,1,0,Month-to-Month,Credit Card,3.0,1.0,2824.0374208708095,1
1236,18.0,Female,8,49.42,3,1,0,Month-to-Month,Mailed Check,1.0,0.0,354.7720611525196,1
1237,36.0,Female,5,111.18,2,1,1,One Year,Mailed Check,3.0,1.0,513.0674684294603,0
1238,45.0,Male,29,116.75,3,1,1,One Year,Credit Card,2.0,0.0,3378.644426941823,0
1239,61.0,Male,47,38.55,1,1,1,Month-to-Month,Credit Card,3.0,0.0,1757.1756633157015,1
1240,43.0,Female,68,66.21,2,1,0,Two Year,Bank Transfer,5.0,0.0,4527.189307112808,0
1241,49.0,Female,45,20.12,2,0,1,One Year,Mailed Check,3.0,0.0,937.7117065578858,0
1242,23.0,Male,2,79.83,3,1,1,Month-to-Month,Credit Card,2.0,1.0,95.91042746922324,1
1243,49.0,Male,27,80.73,2,0,1,Two Year,Credit Card,1.0,1.0,2148.8051688525807,0
1244,21.0,Male,36,44.75,1,1,0,Month-to-Month,Electronic Check,3.0,1.0,1584.8471379980706,0
1245,28.0,Male,36,75.84,1,0,1,Two Year,Credit Card,3.0,2.0,2721.989631931683,0
1246,34.0,Male,26,42.55,1,1,1,One Year,Credit Card,2.0,4.0,1160.434175849184,1
1247,55.0,Female,43,36.08,2,0,0,Month-to-Month,Mailed Check,4.0,2.0,1608.4556707501301,1
1248,41.0,Female,27,85.15,1,1,1,One Year,Bank Transfer,4.0,0.0,2423.9933693082894,0
1249,22.0,Female,69,52.59,2,1,1,One Year,Mailed Check,5.0,2.0,3515.241303542291,0
1250,69.0,Female,20,79.03,2,0,1,One Year,Bank Transfer,4.0,1.0,1534.3852138424186,0
1251,51.0,Male,11,63.32,1,1,1,Two Year,Electronic Check,2.0,0.0,787.2204590537492,1
1252,23.0,Male,38,118.44,1,0,0,One Year,Credit Card,2.0,2.0,4410.684984111159,0
1253,39.0,Male,6,34.96,1,0,0,One Year,Electronic Check,3.0,1.0,299.32325320853533,0
1254,28.0,Female,23,66.46,3,1,1,Two Year,Bank Transfer,3.0,0.0,1535.9475636571622,0
1255,65.0,Female,47,88.05,1,1,0,One Year,Mailed Check,3.0,3.0,4147.556638651126,1
1256,33.0,Male,46,59.55,3,1,1,Month-to-Month,Mailed Check,3.0,2.0,2675.310100694026,1
1257,50.0,Male,12,117.47,3,1,0,Two Year,Electronic Check,4.0,2.0,1387.081838999785,0
1258,26.0,Female,13,92.19,2,1,1,Month-to-Month,Bank Transfer,5.0,0.0,1285.8388179854953,0
1259,23.0,Female,62,85.7,3,0,1,One Year,Electronic Check,3.0,0.0,5311.015843237939,0
